Patient ID	Sample Type	Sequencing Type	Library Layout	Single Cell	Center	Plattform	Lanes	Giga Bases	genotype	tamoxifen_treatment	irradiation_treatment	"hdac_treatment
"	ATMi_treatment  only ATAC-seq	Replicate	id3_irradiation_project	id3_hdac_project	arid1a_project																																																																																																																																																																																																																																															
C010_DivA_ID3_R4	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	17	KNOCKOUT	UNTREATED	UNTREATED	UNTREATED		4	TRUE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_MDC1	KNOCKOUT-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina HiSeq 4000 HiSeq 3000_4000 PE	1	8	KNOCKDOWN	TREATED	UNTREATED	UNTREATED		3	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_MDC1	KNOCKOUT-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina HiSeq 4000 HiSeq 3000_4000 PE	1	8	KNOCKDOWN	UNTREATED	UNTREATED	UNTREATED		3	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_MDC1_R1	KNOCKDOWN-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	17	KNOCKDOWN	TREATED	UNTREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_MDC1_R1	KNOCKDOWN-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	12	KNOCKDOWN	UNTREATED	UNTREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_MDC1_R2	KNOCKDOWN-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	KNOCKDOWN	TREATED	UNTREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_MDC1_R2	KNOCKDOWN-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	15	KNOCKDOWN	UNTREATED	UNTREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT	CONTROL-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina HiSeq 4000 HiSeq 3000_4000 PE	1	10	CONTROL	TREATED	UNTREATED	UNTREATED		8	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina HiSeq 4000 HiSeq 3000_4000 PE	1	8	CONTROL	UNTREATED	UNTREATED	UNTREATED		8	FALSE	FALSE	TRUE																																																																																																																																																																																																																																															
C010_DivA_WT_HDACi_R1	CONTROL-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	15	CONTROL	TREATED	UNTREATED	TREATED		1	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_HDACi_R1	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	8	CONTROL	UNTREATED	UNTREATED	TREATED		1	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_HDACi_R2	CONTROL-TREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	12	CONTROL	TREATED	UNTREATED	TREATED		2	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_HDACi_R2	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	16	CONTROL	UNTREATED	UNTREATED	TREATED		2	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_HDACi_R3	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	12	CONTROL	UNTREATED	UNTREATED	TREATED		3	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_HDACi_R4	CONTROL-UNTREATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	15	CONTROL	UNTREATED	UNTREATED	TREATED		4	FALSE	TRUE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R1	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	8	CONTROL	UNTREATED	TREATED	UNTREATED		1	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R2	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	2	14	CONTROL	UNTREATED	TREATED	UNTREATED		2	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R3	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	13	CONTROL	UNTREATED	TREATED	UNTREATED		3	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
C010_DivA_WT_IR_R4	CONTROL-IRRADIATED	RNA	PAIRED	FALSE	DKFZ	Illumina NovaSeq 6000 S1	1	14	CONTROL	UNTREATED	TREATED	UNTREATED		4	TRUE	FALSE	FALSE																																																																																																																																																																																																																																															
